geoname_id	name	ascii_name	population	latitude	longitude	feature_code
13308620	Bao'an	Bao'an	4476554	22.5521300	113.8828800	PPLA3
13512505	Lüliang	Lueliang	3346500	37.5192000	111.1443600	PPLA2
1797873	Huai'an	Huai'an	2494013	33.5886100	119.0191700	PPL
10859300	Lianyungang	Lianyungang	2001009	34.5984500	119.2155600	PPLA2
11838258	Bayan Nur	Bayan Nur	1760000	40.7414300	107.3859900	PPL
1793724	Tai’an	Tai'an	1735425	36.1852800	117.1200000	PPLA2
7283386	Changshu	Changshu	1677050	31.6461500	120.7422100	PPLA3
1807681	Huainan	Huainan	1666826	32.6263900	116.9969400	PPL
12358576	Wanzhou	Wanzhou	1545900	30.7645100	108.3958600	PPLA3
1806602	Cixi	Cixi	1457510	30.1764000	121.2457000	PPLA3
10942359	Baoji	Baoji	1437802	34.3677500	107.2370500	PPLA2
1793771	Suqian	Suqian	1437685	33.9491700	118.2958300	PPLA2
1788534	Xinyang	Xinyang	1230042	32.1227800	114.0655600	PPL
10942283	Jinzhong	Jinzhong	1226617	37.6840300	112.7547100	PPLA2
1808956	Changzhi	Changzhi	1214940	36.1838900	113.1052800	PPLA2
13405906	Luohu District	Luohu District	1143801	22.5472100	114.1314900	PPLX
1786746	Yichun	Yichun	1045952	27.8333300	114.4000000	PPLA2
1806535	Huzhou	Huzhou	1015937	30.8703000	120.0933000	PPLA2
1808857	Hanzhong	Hanzhong	1006557	33.0750700	107.0221400	PPLA2
7602670	Zhu Cheng City	Zhu Cheng City	1000000	35.9950200	119.4025900	PPLA3
2036662	Huludao	Huludao	944495	40.7524300	120.8355200	PPLA2
1886762	Zhoushan	Zhoushan	882932	29.9886900	122.2048800	PPLA3
1799194	Guang’an	Guang'an	858159	30.4741300	106.6369600	PPLA2
1785412	Zhabei	Zhabei	840000	31.2586100	121.4597200	PPLX
1788508	Xinyu	Xinyu	839488	27.8042900	114.9333500	PPLA2
1793703	Taicang	Taicang	831113	31.4477800	121.0938900	PPLA3
1788081	Xuancheng	Xuancheng	774332	30.9525000	118.7552800	PPLA2
1801620	Ma’anshan	Ma'anshan	741531	31.6857900	118.5100800	PPLA2
12324556	Shizuishan	Shizuishan	739400	38.9808200	106.3892000	PPLA2
1787351	Yangquan	Yangquan	731228	37.8575000	113.5633300	PPLA2
1783873	Zhumadian	Zhumadian	721670	32.9794400	114.0294400	PPLA2
1815463	Changzhi	Changzhi	699514	35.2088900	111.7386100	PPL
1785738	Yuncheng	Yuncheng	680036	35.0230600	110.9927800	PPLA2
2035513	Panshan	Panshan	625040	41.1880600	122.0494400	PPL
1806096	Jiaozhou	Jiaozhou	619266	36.2838900	120.0033300	PPLA3
13512502	Mengzi	Mengzi	595100	23.3677900	103.3821200	PPLA2
2033370	Yingkou	Yingkou	591159	40.6647200	122.2317600	PPLA2
1809412	Guli	Guli	536000	28.8816200	120.0330800	PPL
1796068	Shangluo	Shangluo	531696	33.8666700	109.9305600	PPLA2
1790396	Xianning	Xianning	512517	29.8434700	114.3220100	PPLA2
12492662	Mianzhu, Deyang, Sichuan	Mianzhu, Deyang, Sichuan	510000	31.3378600	104.2205700	PPLL
13527052	Chéngguān Qū	Chengguan Qu	478275	29.6384200	91.0444100	PPLA2
1805741	Jincheng	Jincheng	476945	35.5022200	112.8327800	PPLA2
1794794	Shouguang	Shouguang	473620	36.8800000	118.7375000	PPL
1805680	Jingdezhen	Jingdezhen	473561	29.2947000	117.2078900	PPLA2
1816858	Basuo	Basuo	444458	19.1026700	108.6656500	PPLA3
2038365	Bei’an	Bei'an	436444	48.2666700	126.6000000	PPL
1809152	Guyuan	Guyuan	411854	36.0066700	106.2808300	PPLA2
1810458	Gaomi	Gaomi	391986	36.3833300	119.7527800	PPLA3
7304020	Fenghuang	Fenghuang	370000	27.9355700	109.5996100	PPL
8537264	Huanggang	Huanggang	366769	30.4514300	114.8703500	PPLA2
1817990	Anqiu	Anqiu	364208	36.4341700	119.1925000	PPL
8067345	Lhoka	Lhoka	353700	29.2430100	91.7723900	PPLA2
1798900	Pengze	Pengze	350000	29.8988500	116.5457200	PPLA3
8054802	Xilinhot	Xilinhot	349953	43.9388900	116.0702100	PPLA2
1813206	Daye	Daye	347406	30.0833300	114.9500000	PPL
12277239	Yunlong	Yunlong	345393	34.2528100	117.2516700	PPLA3
1785716	Pizhou	Pizhou	343421	34.3113900	117.9502800	PPLA3
1794479	Laixi	Laixi	341470	36.8591700	120.5269400	PPLA3
2034439	Tieling	Tieling	333907	42.2930600	123.8413900	PPL
12358476	Hechi	Hechi	330131	24.6928500	108.0837600	PPLA2
1803590	Lincang	Lincang	323708	23.8797200	100.0945500	PPLA2
1787323	Yangshuo	Yangshuo	300000	24.7808100	110.4896700	PPLS
1803364	Linqu	Linqu	299646	36.5155600	118.5397200	PPL
1281743	Artux	Artux	285000	39.7084200	76.1797100	PPLA2
1804866	Kaili	Kaili	275745	26.5858300	107.9797200	PPLA2
12492660	Longling County	Longling County	270000	24.5866300	98.6893400	PPLA3
2036670	Hulan Ergi	Hulan Ergi	265344	47.2041700	123.6333300	PPL
1812228	Dongtai	Dongtai	262873	32.8523100	120.3094700	PPLA3
2034400	Tongliao	Tongliao	261110	43.6125000	122.2652800	PPLA2
1799471	Nianbo	Nianbo	260184	36.4800000	102.4163900	PPL
1815669	Changle	Changle	259161	36.7058300	118.8275000	PPL
2036458	Jining	Jining	258757	41.0275000	113.1058300	PPL
10942183	Rugao	Rugao	257400	32.3703500	120.5764900	PPLA3
1793899	Suicheng	Suicheng	256665	33.8963000	117.9330700	PPLA3
1800234	Nada	Nada	256652	19.5213400	109.5789500	PPLA3
1787031	Yanzhou	Yanzhou	254788	35.5527800	116.8286100	PPL
1792260	Wafangdian	Wafangdian	250591	39.6183300	122.0080600	PPL
1806988	Huayin	Huayin	242488	34.5652800	110.0663900	PPL
1805012	Jiyuan	Jiyuan	242143	35.0891200	112.5881500	PPLA2
1790371	Xiantao	Xiantao	239406	30.3708000	113.4429400	PPL
1786731	Qingzhou	Qingzhou	236406	36.6966700	118.4797200	PPL
1785974	Yuci	Yuci	235929	37.6802800	112.7319400	PPLX
1807508	Huanggang	Huanggang	225956	23.6770400	116.9996100	PPLA3
1805618	Jingling	Jingling	224871	30.6500000	113.1000000	PPL
1788618	Xintai	Xintai	222459	35.9005600	117.7519400	PPL
1790894	Wuxue	Wuxue	220661	29.8505800	115.5525000	PPLA3
1791249	Wuhai	Wuhai	218427	39.6844200	106.8158300	PPLA2
12358616	Yintai	Yintai	217509	35.1152400	109.0970200	PPLA3
1805298	Jinzhou	Jinzhou	215386	39.1000000	121.7166700	PPL
1801909	Luojiang	Luojiang	212186	31.3049700	104.5048400	PPLA3
2037078	Hailar	Hailar	211066	49.2000000	119.7000000	PPLA3
1814082	Daliang	Daliang	210411	22.8406700	113.2503000	PPLA4
1808931	Hangu	Hangu	208369	39.2488900	117.7891700	PPL
13512708	Nyingchi	Nyingchi	200000	29.6488500	94.3550900	PPLA2
1803551	Beiliu	Beiliu	199769	22.7072200	110.3491700	PPL
1811764	Duyun	Duyun	198516	26.2666700	107.5166700	PPL
1804850	Kaiyuan	Kaiyuan	198423	23.6976700	103.3037200	PPL
13512503	Lushui	Lushui	197000	25.8232000	98.8585300	PPLA2
1798972	Peicheng	Peicheng	195363	34.7361100	116.9247200	PPLA3
1811619	Ezhou	Ezhou	193652	30.4000000	114.8333300	PPL
1806696	Humen	Humen	191891	22.8189900	113.6730600	PPLA4
2037086	Haicheng	Haicheng	191651	40.8515800	122.7475400	PPLA3
